msoa,black_count,population
E02000866,558,10643
E02000867,914,11329
E02000868,411,7197
E02000869,442,5931
E02000870,453,6368
E02000871,1261,11515
E02000872,492,8145
E02000873,1017,9852
E02000874,532,7494
E02000875,1436,13572
E02000876,380,7273
E02000877,1229,13807
E02000878,488,10432
E02000879,449,8340
E02000880,427,6514
E02000881,1314,10832
E02000882,887,11507
E02000883,1009,9287
E02000884,568,12764
E02000885,463,7055
E02000886,651,9594
E02000887,885,10803
E02000888,545,8621
E02000889,362,8965
E02000890,116,5815
E02000893,451,7413
E02000894,572,11006
E02000895,973,8371
E02000896,617,9331
E02000897,1066,8569
E02000898,924,8014
E02000899,1134,8813
E02000900,1670,8973
E02000901,1023,10493
E02000902,1673,9961
E02000903,1859,10275
E02000904,1355,8422
E02000905,1396,10472
E02000906,1294,9655
E02000907,2645,10581
E02000908,1985,12905
E02000909,1203,9246
E02000910,1143,11430
E02000911,1577,12966
E02000912,1421,9742
E02000913,1211,9643
E02000914,2267,11800
E02000915,1029,8110
E02000916,1880,10564
E02000917,1376,9588
E02000918,1309,9324
E02000919,1075,9235
E02000920,2118,10298
E02000921,2601,11198
E02000922,1825,10463
E02000923,626,7527
E02000925,1743,7900
E02000926,1222,11641
E02000927,990,7098
E02000928,245,8353
E02000929,2385,8107
E02000930,798,10078
E02000931,420,8818
E02000932,574,12843
E02000933,367,8870
E02000934,826,8921
E02000935,1226,7372
E02000936,434,9367
E02000937,459,8161
E02000938,1201,10766
E02000939,321,7820
E02000940,1139,9323
E02000941,676,10173
E02000942,337,9688
E02000943,505,8722
E02000944,1172,7645
E02000945,1090,7841
E02000946,1029,8439
E02000947,386,9344
E02000948,779,10027
E02000949,380,10004
E02000950,632,7585
E02000951,531,6429
E02000952,563,6145
E02000953,552,7503
E02000954,525,6098
E02000955,748,6890
E02000956,1053,7421
E02000957,1189,10861
E02000958,1029,8281
E02000959,1581,7864
E02000960,266,6149
E02000961,495,9813
E02000962,467,7700
E02000963,1933,10521
E02000964,2313,12141
E02000965,532,7882
E02000966,306,9248
E02000967,210,6053
E02000968,1723,14479
E02000969,1555,9611
E02000970,169,6835
E02000971,233,7470
E02000972,495,7885
E02000973,850,9957
E02000974,563,8705
E02000975,302,7417
E02000976,391,8432
E02000977,257,6389
E02000978,178,7132
E02000979,496,8089
E02000980,763,8720
E02000981,584,8269
E02000982,748,7638
E02000983,616,7694
E02000984,17,7679
E02000985,21,7417
E02000986,59,8398
E02000987,60,7300
E02000988,268,9043
E02000989,37,8350
E02000990,95,8354
E02000991,105,7813
E02000992,36,6301
E02000993,559,8435
E02000994,703,9046
E02000995,236,8345
E02000996,501,8573
E02000997,52,6478
E02000998,626,10435
E02000999,1154,8534
E02001000,364,9177
E02001001,453,8850
E02001002,256,9728
E02001003,78,7357
E02001004,1576,9345
E02001005,553,9845
E02001006,534,8471
E02001007,87,10066
E02001008,868,9159
E02001009,333,7484
E02001010,186,6525
E02001011,82,9743
E02001012,388,9804
E02001013,86,6106
E02001014,59,8463
E02001015,230,8202
E02001016,363,8706
E02001017,144,10774
E02001018,72,7658
E02001019,47,9041
E02001020,18,5917
E02001021,22,7505
E02001022,137,8071
E02001023,79,5694
E02001024,71,8058
E02001025,479,8152
E02001026,323,11350
E02001027,128,7282
E02001028,46,7331
E02001029,171,7781
E02001030,37,6182
E02001031,93,6878
E02001032,77,7675
E02001033,119,6181
E02001034,262,8617
E02001035,57,7215
E02001036,180,7481
E02001037,37,7214
E02001038,111,5679
E02001039,459,8603
E02001040,113,6406
E02001041,192,7730
E02001042,117,6564
E02001043,186,5686
E02001044,129,9564
E02001045,990,8432
E02001046,1750,11214
E02001047,1739,10472
E02001048,681,9446
E02001049,1270,10494
E02001050,1818,8431
E02001051,2420,9269
E02001052,1031,15011
E02001053,3425,11911
E02001055,1750,9687
E02001056,2227,8934
E02001059,2755,11848
E02001061,2605,10961
E02001062,2386,10137
